Team,Player,Transfer Value
Liverpool,Alisson,€24.1M
Liverpool,Andrew Robertson,€24M
Liverpool,Trent Alexander-Arnold,€55.8M
Liverpool,Ibrahima Konaté,€57.2M
Liverpool,Virgil van Dijk,€24.3M
Liverpool,Curtis Jones,€61.7M
Liverpool,Dominik Szoboszlai,€71.4M
Liverpool,Ryan Gravenberch,€85.3M
Liverpool,Alexis Mac Allister,€106.1M
Liverpool,Darwin Núñez,€60.9M
Liverpool,Diogo Jota,€58.6M
Liverpool,Luis Díaz,€71M
Liverpool,Mohamed Salah,€38.5M
Liverpool,Cody Gakpo,€67.5M
Arsenal,David Raya,€28.9M
Arsenal,Ben White,€58.8M
Arsenal,Myles Lewis-Skelly,€34.9M
Arsenal,Gabriel Magalhães,€75.5M
Arsenal,Riccardo Calafiori,€49.3M
Arsenal,William Saliba,€79.5M
Arsenal,Mikel Merino,€40.5M
Arsenal,Martin Ødegaard,€126.5M
Arsenal,Declan Rice,€107.8M
Arsenal,Thomas Partey,€15.2M
Arsenal,Kai Havertz,€70.5M
Arsenal,Gabriel Martinelli,€62.6M
Arsenal,Bukayo Saka,€101.3M
Arsenal,Leandro Trossard,€31.8M
Chelsea,Robert Sánchez,€24.9M
Chelsea,Malo Gusto,€32.8M
Chelsea,Marc Cucurella,€39.4M
Chelsea,Tosin Adarabioyo,€24.3M
Chelsea,Levi Colwill,€56.6M
Chelsea,Wesley Fofana,€30.3M
Chelsea,Cole Palmer,€115.4M
Chelsea,Enzo Fernández,€73.7M
Chelsea,Moisés Caicedo,€80.7M
Chelsea,Christopher Nkunku,€51.7M
Chelsea,Nicolas Jackson,€66.2M
Chelsea,Jadon Sancho,€37.7M
Chelsea,Noni Madueke,€51.6M
Chelsea,Pedro Neto,€60.6M
Aston Villa,Emiliano Martínez,€17.5M
Aston Villa,Lucas Digne,€13.6M
Aston Villa,Matty Cash,€32.9M
Aston Villa,Ian Maatsen,€40.6M
Aston Villa,Tyrone Mings,€5.8M
Aston Villa,Ezri Konsa,€42.7M
Aston Villa,Pau Torres,€45.3M
Aston Villa,Boubacar Kamara,€46.3M
Aston Villa,John McGinn,€22.5M
Aston Villa,Amadou Onana,€62.1M
Aston Villa,Jacob Ramsey,€45.8M
Aston Villa,Youri Tielemans,€41.5M
Aston Villa,Morgan Rogers,€69M
Aston Villa,Ollie Watkins,€61.4M
Aston Villa,Leon Bailey,€39.2M
Brentford,Mark Flekken,€13.6M
Brentford,Nathan Collins,€33.3M
Brentford,Ethan Pinnock,€7.6M
Brentford,Sepp van den Berg,€26.4M
Brentford,Kristoffer Ajer,€21.5M
Brentford,Christian Nørgaard,€14.4M
Brentford,Mikkel Damsgaard,€28.6M
Brentford,Vitaly Janelt,€27.1M
Brentford,Yehor Yarmoliuk,€18M
Brentford,Keane Lewis-Potter,€27.1M
Brentford,Kevin Schade,€29.7M
Brentford,Yoane Wissa,€31.4M
Brentford,Bryan Mbeumo,€57.2M
Brighton,Bart Verbruggen,€30.7M
Brighton,Jan Paul van Hecke,€42.4M
Brighton,Lewis Dunk,€7.4M
Brighton,Pervis Estupiñán,€37.1M
Brighton,Joël Veltman,€5.7M
Brighton,Carlos Baleba,€52.4M
Brighton,Jack Hinshelwood,€9.2M
Brighton,Yasin Ayari,€21.4M
Brighton,Simon Adingra,€34M
Brighton,Danny Welbeck,€6M
Brighton,Kaoru Mitoma,€50.6M
